Target,Subtarget,IMAGE,REALBOOT
ramips,rt305x,56f0441df639ee1ea8012308fdc74150dd9fbd87.bin.log,53.1010000705719
ramips,rt305x,dfbe25f9f37bd39079a3e2c28bf6787d06e0400e.bin.log,59.66300010681152
ramips,rt305x,6145ce47ecbde922ce5d70d88dcad720a39474c6.bin.log,51.479000091552734
ramips,rt305x,6d67b71825061521e126c95ae0be93d33cbf4a37.bin.log,56.871999979019165
ramips,rt305x,cdd0a132588cce93663d281644a3dc68338f02f9.bin.log,40.41000008583069
ramips,rt305x,87eee1bcdb21fcee6c4d842e01af48fe0709b117.bin.log,41.13300013542175
ramips,rt305x,62f68b2d9c09def106b6d644202b1c61a334fe8e.bin.log,37.4520001411438
ramips,rt305x,95509725a6d40298ad2d14d0ea61af4e52004d42.bin.log,44.0789999961853
ramips,rt305x,9c41dd06c486172379e13f915da395d950401228.bin.log,40.180999994277954
ramips,rt305x,db9e1eb5bc4acfac7fd2832a091630ab5da959ae.bin.log,41.27900004386902
ramips,rt305x,3ac511f799480ef54685394fff0c119ee20c150a.bin.log,51.86899995803833
ramips,rt305x,2ccaad11bbb9fb3c87ed69309c25c9ac2f3e8621.bin.log,36.44199991226196
ramips,rt305x,15c9da5f09b537b51cb7926a2bc727a970c1e30f.bin.log,42.513999938964844
ramips,rt305x,a055e324da7245c54c1c13d1881191cc27ea23e9.bin.log,54.33999991416931
ramips,rt305x,3d521a3c0abbf901e772eac7b6293a0d29aba2dd.bin.log,59.11699986457825
ramips,rt305x,7e6cb6907eaaa77f8ab6cccb8587b837201d4979.bin.log,46.18600010871887
ramips,rt305x,9ec214fd8d27cedc093045ecc8d6b89a2abbee12.bin.log,50.52300000190735
ramips,rt305x,aea0c911634512f13a961d85a9b0797fb80f9847.bin.log,51.76900005340576
ramips,rt305x,bda54d88519cce1d6f956046ed53c054b49b65fa.bin.log,55.02999997138977
ramips,rt305x,a366733b50e1e6f8925bd2131a228acb9c04efe5.bin.log,46.58299994468689
ramips,rt305x,aeadcd1cdb586253c51592d86e814deffbd02cae.bin.log,50.46399998664856
ramips,rt305x,6054e48de8e4e3f53b8604708dfef2b5de2ef41c.bin.log,56.46000003814697
ramips,rt305x,12ebf7655475baf21232477851151acd605c23ab.bin.log,45.41799998283386
ramips,rt305x,98b588298af120283b606fb5f17ee95d956d1749.bin.log,53.34500002861023
ramips,rt305x,b206c9a7ff55086388ffc495ff65b77c5e452e74.bin.log,59.47200012207031
ramips,rt305x,963459f1eaf4f2836209f92a2c4a41b7f3f145f9.bin.log,57.2260000705719
ramips,rt305x,dc9f4d6dc6d95b160c62c66a7e9c6c9cc0e76375.bin.log,45.26900005340576
ramips,rt305x,21bc991d6fbe85edd2d7c5082409706d733c9ff5.bin.log,37.11400008201599
ramips,rt305x,d54d731bd6c0c6058185e59c39dbb3d7dbaf9564.bin.log,50.58500003814697
ramips,rt305x,ec58d454a9377cac0e367dd39afaeef2f4e77f60.bin.log,49.36400008201599
ramips,rt305x,f06e050a3187edd3df9c02e58da38c31919c94ad.bin.log,59.348999977111816
ramips,rt305x,e798768e69f62c2b9b4dd8ecc89f3b672db82197.bin.log,49.9449999332428
ramips,rt305x,342229eb8d8e54f6da118c13323350c8cabbb468.bin.log,51.49900007247925
ramips,rt305x,398aa562f78e551bfdb9cc455f18d77e852317d8.bin.log,54.633999824523926
ramips,rt305x,d87a13f05c9ca5a8c04dcfbf539a80e2033d7d82.bin.log,47.98099994659424
ramips,rt305x,55b7b53b4bb2d03c474ef944470ad91d5be2c8a0.bin.log,50.88600015640259
ramips,rt305x,2d252c198d6111a93596f5a3b0d5234f217ff3cc.bin.log,56.28500008583069
ramips,rt305x,0dfa3c545d177a404b3e4b659daba3fa374b9a21.bin.log,48.33899998664856
